"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","V1"
"1","7SK.1",5.04069534064863e-22,4.08961820452302,0.685,0.309,1.51220860219459e-18,"15",NA
"2","7SK.1",2.05032597808644e-44,1.40039516868273,0.766,0.293,6.15097793425933e-41,"7",NA
"3","7SK.1",3.15841293543273e-11,0.417714147589034,0.165,0.333,9.47523880629819e-08,"2",NA
"4","7SK.1",1.22258615756926e-07,0.896870869493759,0.248,0.32,0.000366775847270778,"14",NA
"5","AACS",1.26634784525019e-22,2.71432941482415,0.388,0.154,3.79904353575057e-19,"9","ENSFALG00000009422"
"6","AACS",6.29896497796592e-15,1.63512964435917,0.519,0.157,1.88968949338978e-11,"16","ENSFALG00000009422"
"7","AAGAB",1.52874208509207e-11,1.30639473705566,0.567,0.196,4.58622625527621e-08,"16","ENSFALG00000012887"
"8","AAGAB",2.62217956787806e-66,1.47286944444083,0.444,0.166,7.86653870363419e-63,"0","ENSFALG00000012887"
"9","AAGAB",1.67268968376653e-16,0.780028826035576,0.321,0.202,5.01806905129959e-13,"14","ENSFALG00000012887"
"10","AAGAB",3.63876824464557e-32,0.760677897923214,0.504,0.189,1.09163047339367e-28,"8","ENSFALG00000012887"
"11","ABCE1",2.80833481666554e-15,1.36287223300833,0.375,0.207,8.42500444999661e-12,"8","ENSFALG00000005539"
"12","ABCE1",2.77302919565091e-06,1.09188810451771,0.332,0.204,0.00831908758695272,"2","ENSFALG00000005539"
"13","ABCE1",4.36189168326746e-87,1.31852122865177,0.598,0.181,1.30856750498024e-83,"3","ENSFALG00000005539"
"14","ABHD17A",4.46986947977045e-121,5.16447990741889,0.983,0.301,1.34096084393113e-117,"7","ENSFALG00000013738"
"15","ABHD17A",1.1372477043279e-56,0.415207163052405,0.842,0.313,3.4117431129837e-53,"10","ENSFALG00000013738"
"16","ABITRAM",2.74030948421451e-23,0.906837525630013,0.38,0.184,8.22092845264354e-20,"6","ENSFALG00000005102"
"17","ABITRAM",1.3546904554985e-16,2.31401103048555,0.469,0.18,4.06407136649551e-13,"8","ENSFALG00000005102"
"18","ABRAXAS1",1.62804639238057e-13,2.80630684308182,0.552,0.277,4.88413917714171e-10,"4","ENSFALG00000005274"
"19","ABRAXAS1",2.86481280220581e-20,2.05189064558052,0.58,0.282,8.59443840661744e-17,"7","ENSFALG00000005274"
"20","ACAD9",7.59194191652704e-18,0.522586715278087,0.541,0.195,2.27758257495811e-14,"14","ENSFALG00000000031"
"21","ACAD9",7.08436430008631e-05,0.345230970259959,0.365,0.199,0.212530929002589,"16","ENSFALG00000000031"
"22","ACAD9",4.37502195323324e-31,1.61656208219618,0.532,0.187,1.31250658596997e-27,"9","ENSFALG00000000031"
"23","ACAD9",1.12892400500164e-18,1.1157144596994,0.346,0.19,3.38677201500493e-15,"3","ENSFALG00000000031"
"24","ACAD9",1.92741136515559e-09,1.15625797831105,0.354,0.194,5.78223409546676e-06,"6","ENSFALG00000000031"
"25","ACADL",2.91298337721072e-45,0.611336120715032,0.607,0.16,8.73895013163216e-42,"8","ENSFALG00000013095"
"26","ACADL",2.44529033505261e-73,0.595311781818095,0.493,0.155,7.33587100515784e-70,"3","ENSFALG00000013095"
"27","ACADL",1.62336752734019e-16,0.413245553850092,0.759,0.176,4.87010258202058e-13,"17","ENSFALG00000013095"
"28","ACADL",8.67374433814635e-14,2.19038009156921,0.346,0.173,2.6021233014439e-10,"6","ENSFALG00000013095"
"29","ACADM",5.91140766404928e-29,1.01347407289454,0.779,0.189,1.77342229921479e-25,"16","ENSFALG00000009177"
"30","ACADM",1.6794679404942e-55,4.2143407547343,0.701,0.179,5.0384038214826e-52,"9","ENSFALG00000009177"
"31","ACADM",2.08938906280179e-22,1.50319722174585,0.46,0.189,6.26816718840536e-19,"6","ENSFALG00000009177"
"32","ACADS",2.74267123292572e-07,2.99391043053174,0.411,0.212,0.000822801369877716,"13","ENSFALG00000007511"
"33","ACADS",2.64362898901742e-90,1.89952457184613,0.698,0.176,7.93088696705226e-87,"3","ENSFALG00000007511"
"34","ACAP2",0.000152626700988913,0.957916571913508,0.463,0.186,0.457880102966738,"17","ENSFALG00000007175"
"35","ACBD3",2.61603807846444e-112,2.70259987732368,0.977,0.286,7.84811423539332e-109,"5","ENSFALG00000011626"
"36","ACBD3",3.97562058630052e-108,2.51120245283101,0.863,0.274,1.19268617589016e-104,"2","ENSFALG00000011626"
"37","ACBD3",1.65618468409318e-110,0.860124969198646,0.838,0.259,4.96855405227954e-107,"1","ENSFALG00000011626"
"38","ACBD6",1.54771435568307e-10,2.3341830680475,0.328,0.201,4.64314306704922e-07,"9","ENSFALG00000008070"
"39","ACBD6",5.40458881839056e-28,2.02513023052721,0.625,0.196,1.62137664551717e-24,"16","ENSFALG00000008070"
"40","ACBD6",1.0162290314743e-34,0.927698354385543,0.357,0.193,3.04868709442289e-31,"3","ENSFALG00000008070"
"41","ACBD7",1.23902488364864e-23,1.37428365045564,0.424,0.155,3.71707465094592e-20,"8","ENSFALG00000007655"
"42","ACER3",1.37887865197354e-20,3.28622756438046,0.731,0.315,4.13663595592062e-17,"15","ENSFALG00000007565"
"43","ACER3",6.80330215323467e-07,1.2936436049075,0.211,0.328,0.0020409906459704,"14","ENSFALG00000007565"
"44","ACER3",1.8279670039215e-44,1.24270779347872,0.777,0.301,5.4839010117645e-41,"8","ENSFALG00000007565"
"45","ACER3",5.36976521882125e-73,1.38019017246536,0.754,0.283,1.61092956564638e-69,"2","ENSFALG00000007565"
"46","ACOT7",3.77878778390673e-32,3.49629197666884,0.567,0.214,1.13363633517202e-28,"8","ENSFALG00000009795"
"47","ACOT7",0.00683725919813725,0.683778266804739,0.37,0.229,1,"15","ENSFALG00000009795"
"48","ACOT7",5.68816937546141e-30,1.72853341535873,0.798,0.218,1.70645081263842e-26,"16","ENSFALG00000009795"
"49","ACOT7",2.03210700291592e-15,0.618348092861224,0.384,0.208,6.09632100874777e-12,"0","ENSFALG00000009795"
"50","ACOX3",2.95371552426024e-81,1.30467189979683,0.57,0.123,8.86114657278071e-78,"6","ENSFALG00000009684"
"51","ACOX3",6.71067224273373e-05,1.53947073438453,0.308,0.143,0.201320167282012,"16","ENSFALG00000009684"
"52","ACOX3",8.64183446088494e-07,4.17515105186101,0.407,0.144,0.00259255033826548,"17","ENSFALG00000009684"
"53","ACOX3",6.57165307275146e-92,0.732475369999021,0.535,0.112,1.97149592182544e-88,"3","ENSFALG00000009684"
"54","ACRBP",6.58031406590729e-166,3.27537309088846,0.919,0.216,1.97409421977219e-162,"2","ENSFALG00000004771"
"55","ACRBP",2.62036139985919e-32,4.64631684574983,0.796,0.266,7.86108419957758e-29,"15","ENSFALG00000004771"
"56","ACSBG1",6.08691895508901e-43,0.436881795486154,0.483,0.137,1.8260756865267e-39,"9","ENSFALG00000010617"
"57","ACSBG1",0.00712383565275046,4.53683614952379,0.519,0.148,1,"17","ENSFALG00000010617"
"58","ACSBG2",5.50331662948092e-46,1.93720728506821,0.87,0.296,1.65099498884427e-42,"11","ENSFALG00000013826"
"59","ACSBG2",8.44372652448052e-31,1.14343455419219,0.658,0.298,2.53311795734416e-27,"7","ENSFALG00000013826"
"60","ACSBG2",9.79301306192674e-48,1.95968221079554,0.837,0.293,2.93790391857802e-44,"10","ENSFALG00000013826"
"61","ACSBG2",7.21597194500401e-31,1.12017536306292,0.587,0.296,2.1647915835012e-27,"4","ENSFALG00000013826"
"62","ACSBG2",2.25911632713691e-41,1.0442799430341,0.854,0.299,6.77734898141073e-38,"12","ENSFALG00000013826"
"63","ACSBG2",6.2695319083012e-24,0.475596877897094,0.447,0.299,1.88085957249036e-20,"1","ENSFALG00000013826"
"64","ACTB",1.34249814540873e-09,1.62655056178747,0.284,0.257,4.02749443622618e-06,"14","ENSFALG00000013828"
"65","ACTB",5.64790843753209e-42,3.03593677011632,0.647,0.239,1.69437253125963e-38,"9","ENSFALG00000013828"
"66","ACTB",0.00316291136654563,0.523264679484567,0.537,0.254,1,"17","ENSFALG00000013828"
"67","ACTB",2.72286198316099e-13,2.39690750861324,0.615,0.249,8.16858594948297e-10,"16","ENSFALG00000013828"
"68","ACTB",3.83447962137778e-17,2.16574986893413,0.39,0.253,1.15034388641333e-13,"13","ENSFALG00000013828"
"69","ACTL10",5.43000217998872e-20,1.82357418259399,0.62,0.217,1.62900065399662e-16,"15","ENSFALG00000014485"
"70","ACTL10",9.48020234650181e-189,5.63767616740266,0.947,0.156,2.84406070395054e-185,"2","ENSFALG00000014485"
"71","ACTL6A",9.93076683349712e-20,2.48229238391639,0.316,0.155,2.97923005004914e-16,"6","ENSFALG00000008369"
"72","ACTL6A",1.62501900727575e-68,1.07631460154505,0.551,0.129,4.87505702182726e-65,"3","ENSFALG00000008369"
"73","ACTL6A",3.0560238751672e-55,2.6142996687855,0.617,0.142,9.1680716255016e-52,"9","ENSFALG00000008369"
"74","ACTR2",3.68377817326185e-64,1.78826025099209,0.582,0.232,1.10513345197855e-60,"0","ENSFALG00000013630"
"75","ACTR2",3.31810643792617e-15,1.33939269065851,0.528,0.274,9.95431931377851e-12,"15","ENSFALG00000013630"
"76","ACTR2",3.70309349969764e-39,0.960297848134008,0.538,0.255,1.11092804990929e-35,"2","ENSFALG00000013630"
"77","ACTR2",9.63423917006568e-08,0.595575928588684,0.127,0.294,0.00028902717510197,"3","ENSFALG00000013630"
"78","ACTR3",1.27139218174775e-37,0.657787824585792,0.454,0.191,3.81417654524325e-34,"3","ENSFALG00000013704"
"79","ACTR3",8.05427605326021e-16,2.23466416554159,0.418,0.203,2.41628281597806e-12,"9","ENSFALG00000013704"
"80","ACTR3",4.75022102660306e-27,0.422636297084096,0.571,0.193,1.42506630798092e-23,"8","ENSFALG00000013704"
"81","ACTR3",1.02091581951809e-17,1.8090453868654,0.384,0.203,3.06274745855426e-14,"6","ENSFALG00000013704"
"82","ACTR3",1.78196959472677e-25,2.58712661408176,0.635,0.202,5.3459087841803e-22,"16","ENSFALG00000013704"
"83","ACTR6",1.83341524608835e-24,1.38209213706211,0.513,0.231,5.50024573826506e-21,"8","ENSFALG00000011019"
"84","ACTR6",1.55783971088298e-86,0.991906744850067,0.597,0.189,4.67351913264893e-83,"0","ENSFALG00000011019"
"85","ACYP1",1.69544040706339e-33,0.907245417456058,0.714,0.314,5.08632122119017e-30,"8","ENSFALG00000006347"
"86","ACYP1",1.5730482265796e-45,1.59830281703899,0.771,0.314,4.71914467973881e-42,"9","ENSFALG00000006347"
"87","ACYP1",1.65154558050521e-12,2.18434968927722,0.759,0.329,4.95463674151562e-09,"17","ENSFALG00000006347"
"88","ACYP1",2.05974423929235e-53,3.23730259702391,0.73,0.312,6.17923271787705e-50,"6","ENSFALG00000006347"
"89","ACYP1",2.85099003801653e-16,1.93514788137158,0.587,0.328,8.55297011404958e-13,"16","ENSFALG00000006347"
"90","ACYP1",1.21015928774079e-13,1.59998478765891,0.496,0.329,3.63047786322238e-10,"13","ENSFALG00000006347"
"91","ACYP2",9.98313245834992e-12,0.817605792116404,0.257,0.191,2.99493973750498e-08,"6","ENSFALG00000011360"
"92","ACYP2",1.10679517223191e-30,2.86593278065638,0.423,0.183,3.32038551669573e-27,"9","ENSFALG00000011360"
"93","ACYP2",2.02603845828105e-14,1.28141263772984,0.349,0.19,6.07811537484314e-11,"14","ENSFALG00000011360"
"94","ACYP2",7.23628740443034e-33,0.700648702716191,0.341,0.181,2.1708862213291e-29,"3","ENSFALG00000011360"
"95","ACYP2",6.10915337124778e-13,1.13412500449244,0.348,0.189,1.83274601137434e-09,"13","ENSFALG00000011360"
"96","ADAM20",3.34250166846859e-44,1.84544141321388,0.796,0.289,1.00275050054058e-40,"11","ENSFALG00000004930"
"97","ADAM20",1.98149416821848e-22,0.320909993300011,0.701,0.294,5.94448250465544e-19,"12","ENSFALG00000004930"
"98","ADAM20",7.33251337858669e-38,3.03373099785084,0.656,0.28,2.19975401357601e-34,"4","ENSFALG00000004930"
"99","ADAMTS6",1.30643595547692e-07,4.66514396433519,0.369,0.15,0.000391930786643076,"13","ENSFALG00000009742"
"100","ADAMTS6",1.28432340770534e-90,0.425950764833778,0.551,0.122,3.85297022311601e-87,"3","ENSFALG00000009742"
"101","ADAMTS6",2.8090031545525e-32,1.04429747000956,0.712,0.144,8.42700946365751e-29,"16","ENSFALG00000009742"
"102","ADAMTSL3",4.17813526915196e-87,2.08680027315561,0.615,0.163,1.25344058074559e-83,"1","ENSFALG00000011113"
"103","ADAMTSL3",1.54472966041626e-100,1.99088995014751,0.932,0.17,4.63418898124879e-97,"5","ENSFALG00000011113"
"104","ADAR",1.93722384393188e-23,4.33321366912678,0.796,0.136,5.81167153179564e-20,"17","ENSFALG00000001232"
"105","ADAR",2.32232740768335e-16,0.654606494381179,0.282,0.121,6.96698222305005e-13,"0","ENSFALG00000001232"
"106","ADD1",4.46002794148874e-38,1.15684740288414,0.483,0.137,1.33800838244662e-34,"9","ENSFALG00000009811"
"107","ADD1",4.32986728630457e-30,0.410775302230592,0.388,0.14,1.29896018589137e-26,"6","ENSFALG00000009811"
"108","ADD1",4.14980743723954e-12,0.532967744940309,0.316,0.139,1.24494223117186e-08,"3","ENSFALG00000009811"
