"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.40197898459823e-36,9.23437991531667,1,0.074,4.20593695379469e-33,"17","CBLB"
"2",1.42534360137174e-36,8.33996237351197,1,0.116,4.27603080411522e-33,"17","ENSFALG00000022470"
"3",6.25823436452952e-36,8.58215455802731,1,0.102,1.87747030935886e-32,"17","ENSFALG00000017305"
"4",1.12273561549268e-35,8.17469579668019,1,0.127,3.36820684647805e-32,"17","SLC12A2"
"5",2.16386436255538e-35,8.32502616771148,0.981,0.096,6.49159308766614e-32,"17","PDGFA"
"6",2.22843476663757e-34,8.90742132946682,0.981,0.114,6.68530429991271e-31,"17","ENSFALG00000018581"
"7",1.15319670216396e-33,8.4451813307843,0.944,0.131,3.45959010649187e-30,"17","NR5A2"
"8",3.16627558411552e-32,10.0751025496108,0.907,0.12,9.49882675234655e-29,"17","TRIO"
"9",6.52422780804914e-27,8.0909663255491,0.889,0.137,1.95726834241474e-23,"17","NTN4"
"10",1.89632399724087e-17,7.84998028332926,0.796,0.116,5.68897199172261e-14,"17","SLC38A2"
"11",7.80121330398882e-207,5.62982506453864,0.994,0.108,2.34036399119665e-203,"3","ENSFALG00000017536"
"12",3.1980937649271e-200,5.41539501469167,0.956,0.039,9.59428129478129e-197,"3","ENSFALG00000019648"
"13",8.51729902713972e-161,6.67641296308503,0.886,0.212,2.55518970814191e-157,"3","ENSFALG00000010561"
"14",1.90489366720955e-152,4.3765135229777,0.729,0.078,5.71468100162865e-149,"3","ENSFALG00000021635"
"15",1.36525193960089e-128,4.42911360244865,0.693,0.114,4.09575581880267e-125,"3","ENSFALG00000022097"
"16",8.29538665262369e-116,4.19370307355467,0.812,0.24,2.48861599578711e-112,"3","PHF14"
"17",5.35451465922324e-113,5.61172696830418,0.712,0.045,1.60635439776697e-109,"3","ENSFALG00000020050"
"18",2.00965227976941e-100,4.09022623674939,0.657,0.122,6.02895683930824e-97,"3","ENSFALG00000012406"
"19",2.4258415034514e-77,4.80023768486499,0.582,0.032,7.2775245103542e-74,"3","ENSFALG00000017303"
"20",3.75581904572272e-07,4.382800770392,0.302,0.182,0.00112674571371682,"3","COL4A1"
"21",1.6159666913425e-56,5.36234452774387,0.681,0.074,4.8479000740275e-53,"13","ENSFALG00000012098"
"22",8.00414101098936e-56,5.18961307096321,0.794,0.169,2.40124230329681e-52,"13","ENSFALG00000018612"
"23",2.12685253108778e-48,5.45704524855897,0.688,0.188,6.38055759326335e-45,"13","ULK4"
"24",1.64111904570485e-44,5.17774907625715,0.766,0.204,4.92335713711455e-41,"13","PAXBP1"
"25",1.15427703825394e-42,4.64069620158246,0.688,0.223,3.46283111476182e-39,"13","MLH3"
"26",3.40511827392299e-39,5.57539325082419,0.61,0.145,1.0215354821769e-35,"13","DNM3"
"27",7.03840820932058e-24,5.32942358753865,0.553,0.09,2.11152246279617e-20,"13","ENSFALG00000000199"
