"","Gene_name","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster"
"1","CBLB",0.999,6.40078440252114,0.998,9.23437991531667,1,0.074,17
"2","ENSFALG00000022470",0.999,5.78082140517585,0.998,8.33996237351197,1,0.116,17
"3","ENSFALG00000017305",0.995,5.94869623502631,0.99,8.58215455802731,1,0.102,17
"4","SLC12A2",0.993,5.66626734340411,0.986,8.17469579668019,1,0.127,17
"5","PDGFA",0.991,5.77046841623698,0.982,8.32502616771148,0.981,0.096,17
"6","ENSFALG00000019283",0.989,3.24943979630136,0.978,4.68795067979122,1,0.238,17
"7","ENSFALG00000019648",0.984,2.94467521743567,0.968,4.24826833322308,1,0.104,17
"8","ENSFALG00000018581",0.983,6.17415398057945,0.966,8.90742132946682,0.981,0.114,17
"9","CLU",0.98,5.0783951245713,0.96,7.32657546189371,1,0.306,17
"10","NR5A2",0.978,5.85375362875063,0.956,8.4451813307843,0.944,0.131,17
"11","ENSFALG00000017536",0.987,3.90229737053067,0.974,5.62982506453864,0.994,0.108,3
"12","ENSFALG00000019648",0.979,3.75366578605191,0.958,5.41539501469167,0.956,0.039,3
"13","ENSFALG00000019283",0.939,2.72289672214584,0.878,3.92830959789261,0.925,0.187,3
"14","ENSFALG00000010561",0.929,4.62773682161626,0.858,6.67641296308503,0.886,0.212,3
"15","ENSFALG00000007020",0.917,2.00253569364293,0.834,2.8890483144218,0.723,0.085,3
"16","ENSFALG00000021635",0.917,3.03356800913447,0.834,4.3765135229777,0.729,0.078,3
"17","SETD6",0.91,1.29039567806001,0.82,1.86164744552173,0.748,0.134,3
"18","ENSFALG00000018581",0.908,0.353836449736339,0.816,0.510478091320373,0.74,0.07,3
"19","STK3",0.907,1.38988713196332,0.814,2.00518327267887,0.751,0.159,3
"20","IDE",0.902,1.87640838462415,0.804,2.70708507117974,0.831,0.124,3
"21","U2.1",0.928,0.547825029504957,0.856,0.790344453341649,0.652,0.098,13
"22","NAV3",0.921,1.09799724609812,0.842,1.5840751818555,0.596,0.071,13
"23","ZNF407",0.916,2.06386518841583,0.832,2.97752807239089,0.681,0.094,13
"24","ENSFALG00000021635",0.902,1.77726976892394,0.804,2.56405828194845,0.681,0.114,13
"25","ENSFALG00000019724",0.9,2.76602978217032,0.8,3.9905374496883,0.709,0.146,13
"26","FAIM",0.895,2.0728200037103,0.79,2.99044714000829,0.681,0.149,13
"27","BRIP1",0.893,2.62599861867666,0.786,3.78851518454609,0.716,0.141,13
"28","ENSFALG00000012098",0.892,3.71689399059672,0.784,5.36234452774387,0.681,0.074,13
